"","week","case_count","cases","seq_count","seq_cumulative","percent","log_cases","log_seq"
"1",2021-01-04,15874,205994,142,967,0.89,12.235602321134,6.87419849545329
"2",2021-01-11,17428,223422,85,1052,0.49,12.3168176388348,6.95844839329766
"3",2021-01-18,14393,237815,107,1159,0.74,12.3792483394665,7.05531284333975
"4",2021-01-25,12208,250023,104,1263,0.85,12.4293081926126,7.14124512235049
"5",2021-02-01,9349,259372,95,1358,1.02,12.4660186036351,7.21376830811864
"6",2021-02-08,7965,267337,266,1624,3.34,12.4962653137972,7.39264752072162
"7",2021-02-15,5764,273101,194,1818,3.37,12.5175969691175,7.50549227473742
"8",2021-02-22,6845,279946,237,2055,3.46,12.5423520064092,7.62803112693033
"9",2021-03-01,5384,285330,286,2341,5.31,12.5614016841445,7.75833346749091
"10",2021-03-08,5247,290577,544,2885,10.37,12.5796238803928,7.9672801789422
"11",2021-03-15,6114,296691,643,3528,10.52,12.6004464721485,8.16848641712668
"12",2021-03-22,8519,305210,717,4245,8.42,12.6287553432554,8.35349709874545
"13",2021-03-29,8746,313956,342,4587,3.91,12.6570081276831,8.43098149459717
"14",2021-04-05,7630,321586,1025,5612,13.43,12.6810202830011,8.63266244122235
"15",2021-04-12,7476,329062,679,6291,9.08,12.7040014618411,8.74687531957003
"16",2021-04-19,5704,334766,664,6955,11.64,12.7211870592745,8.84721610435754
"17",2021-04-26,4467,339233,430,7385,9.63,12.7344424659036,8.90720619496548
"18",2021-05-03,3485,342718,337,7722,9.67,12.7446632305569,8.95182867682418
"19",2021-05-10,2259,344977,283,8005,12.53,12.7512330271245,8.98782162543081
"20",2021-05-17,1348,346325,195,8200,14.47,12.7551329195261,9.01188943325234
"21",2021-05-24,1016,347341,109,8309,10.73,12.7580622853204,9.02509454366498
"22",2021-05-31,550,347891,67,8376,12.18,12.7596444913027,9.03312575255037
"23",2021-06-07,459,348350,47,8423,10.24,12.7609630004583,9.03872133831536
"24",2021-06-14,315,348665,64,8487,20.32,12.7618668548127,9.04629085996968
"25",2021-06-21,455,349120,53,8540,11.65,12.7631709816268,9.05251628678262
"26",2021-06-28,356,349476,75,8615,21.07,12.7641901687702,9.06126014896203
"27",2021-07-05,493,349969,95,8710,19.27,12.7655998581143,9.07222706984655
"28",2021-07-12,706,350675,183,8893,25.92,12.7676151475879,9.09301972939964
"29",2021-07-19,1362,352037,344,9237,25.26,12.7714915626925,9.13097243659261
"30",2021-07-26,2298,354335,541,9778,23.54,12.7779980723138,9.18789024313859
"31",2021-08-02,3741,358076,696,10474,18.6,12.7885005333552,9.25665127483943
"32",2021-08-09,3760,361836,802,11276,21.33,12.7989463494809,9.330431852234
"33",2021-08-16,4020,365856,756,12032,18.81,12.8099950923417,9.39532504618962
"34",2021-08-23,4852,370708,790,12822,16.28,12.8231699696991,9.4589177245472
"35",2021-08-30,4427,375135,637,13459,14.39,12.8350412401681,9.50740330623372
"36",2021-09-06,3798,378933,734,14193,19.33,12.8451146874343,9.56050416429926
"37",2021-09-13,5409,384342,735,14928,13.59,12.8592880601987,9.61099392308713
"38",2021-09-20,3391,387733,657,15585,19.37,12.8680722373955,9.65406419220144
"39",2021-09-27,3333,391066,731,16316,21.93,12.8766316226767,9.69990150043745
"40",2021-10-04,2942,394008,704,17020,23.93,12.8841264926425,9.74214440212737
"41",2021-10-11,3115,397123,721,17741,23.15,12.8920013353615,9.78363362406065
"42",2021-10-18,3103,400226,668,18409,21.53,12.8997846665377,9.82059495444656
"43",2021-10-25,2357,402583,708,19117,30.04,12.9056565657623,9.85833327052902
"44",2021-11-01,2386,404969,897,20014,37.59,12.9115657999492,9.9041873076504
"45",2021-11-08,2781,407750,1131,21145,40.67,12.9184095204833,9.95915874990659
"46",2021-11-15,5168,412918,1168,22313,22.6,12.9310043050146,10.0129247472345
"47",2021-11-22,5555,418473,776,23089,13.97,12.9443676507014,10.047111592619
"48",2021-11-29,6802,425275,1107,24196,16.27,12.9604912974778,10.0939426092268
"49",2021-12-06,14148,439423,1098,25294,7.76,12.9932177816683,10.1383224924399
"50",2021-12-13,16143,455566,1210,26504,7.5,13.0292958809048,10.1850509439797
"51",2021-12-20,18991,474557,1250,27754,6.58,13.0701370162664,10.231135252931
"52",2021-12-27,35631,510188,1840,29594,5.16,13.1425345642251,10.2953269170625
"53",2022-01-03,63523,573711,1710,31304,2.69,13.2598810641904,10.3515011638902
"54",2022-01-10,63861,637572,951,32255,1.49,13.3654224908138,10.3814283489663
"55",2022-01-17,34102,671674,1358,33613,3.98,13.4175283827494,10.4226681758849
"56",2022-01-24,24396,696070,1173,34786,4.81,13.4532055089719,10.4569702859681
"57",2022-01-31,10070,706140,839,35625,8.33,13.4675687970998,10.480802917571
"58",2022-02-07,6744,712884,710,36335,10.53,13.4770739933134,10.5005367430507
"59",2022-02-14,6443,719327,1097,37432,17.03,13.4860713316448,10.5302812325461
"60",2022-02-21,3050,722377,684,38116,22.43,13.4903024422613,10.5483894204681
"61",2022-02-28,2456,724833,317,38433,12.91,13.4936965624758,10.5566717445245
"62",2022-03-07,4864,729697,523,38956,10.75,13.5003846584667,10.5701880830811
"63",2022-03-14,2171,731868,495,39451,22.8,13.5033554488136,10.5828146744952
"64",2022-03-21,2328,734196,385,39836,16.54,13.5065313019232,10.5925263050515
"65",2022-03-28,3080,737276,536,40372,17.4,13.5107175922476,10.6058917543587
"66",2022-04-04,3618,740894,695,41067,19.21,13.5156128441131,10.6229601582636
"67",2022-04-11,4758,745652,818,41885,17.19,13.5220142824109,10.6426830465879
"68",2022-04-18,6158,751810,837,42722,13.59,13.5302389114337,10.6624692890176
"69",2022-04-25,6471,758281,880,43602,13.6,13.5388093083287,10.6828582998447
"70",2022-05-02,7891,766172,1021,44623,12.94,13.5491619665976,10.7060047001504
"71",2022-05-09,13288,779460,986,45609,7.42,13.5663566512178,10.7278603444489
"72",2022-05-16,18156,797616,803,46412,4.42,13.5893825576091,10.7453133254674
"73",2022-05-23,8851,806467,673,47085,7.6,13.6004182581653,10.7597097579442
"74",2022-05-30,5465,811932,575,47660,10.52,13.6071718717947,10.7718477506527
"75",2022-06-06,4424,816356,604,48264,13.65,13.612605813316,10.7844412201206
"76",2022-06-13,4514,820870,373,48637,8.26,13.6181200324134,10.7921398371063
"77",2022-06-20,4205,825075,466,49103,11.08,13.6232295702757,10.8016754117124
"78",2022-06-27,6805,831880,440,49543,6.47,13.6314434786319,10.8105962583354
"79",2022-07-04,5871,837751,369,49912,6.29,13.6384761992724,10.8180167337906
"80",2022-07-11,4961,842712,440,50352,8.87,13.6443805416021,10.8267936193042
"81",2022-07-18,5837,848549,522,50874,8.94,13.6512831109578,10.8371072665321
"82",2022-07-25,6033,854582,470,51344,7.79,13.6583677394849,10.8463033633496
"83",2022-08-01,4120,858702,473,51817,11.48,13.66317722576,10.8554735597347
"84",2022-08-08,5211,863913,347,52164,6.66,13.6692273482717,10.8621478807768
"85",2022-08-15,5193,869106,407,52571,7.84,13.6752203760952,10.8699199158886
"86",2022-08-22,4188,873294,429,53000,10.24,13.680027547887,10.8780471925343
"87",2022-08-29,3662,876956,436,53436,11.91,13.6842120990581,10.8862399551097
"88",2022-09-05,4638,881594,414,53850,8.93,13.68948691155,10.8939576825845
"89",2022-09-12,6794,888388,477,54327,7.02,13.6971638634821,10.9027766199095
"90",2022-09-19,4876,893264,453,54780,9.29,13.7026374488667,10.9110804428171
"91",2022-09-26,4809,898073,420,55200,8.73,13.7080066357398,10.9187182322652
"92",2022-10-03,3107,901180,384,55584,12.36,13.7114602946619,10.9256506690408
"93",2022-10-10,4567,905747,344,55928,7.53,13.7165152965796,10.9318204281918
"94",2022-10-17,2763,908510,229,56157,8.29,13.7195611739124,10.9359066184694
"95",2022-10-24,4487,912997,305,56462,6.8,13.724487873701,10.9413231244886
"96",2022-10-31,2597,915594,302,56764,11.63,13.7273283139591,10.9466576009544
"97",2022-11-07,3167,918761,287,57051,9.06,13.7307813022266,10.9517008836204
"98",2022-11-14,2827,921588,312,57363,11.04,13.7338535480057,10.9571547751611
"99",2022-11-21,3635,925223,241,57604,6.63,13.7377900685203,10.9613472887173
"100",2022-11-28,4396,929619,301,57905,6.85,13.7425301037694,10.9665590156185
"101",2022-12-05,4012,933631,298,58203,7.43,13.7468365642018,10.9716921787828
"102",2022-12-12,5312,938943,282,58485,5.31,13.7525100534725,10.9765255900848
"103",2022-12-19,5550,944493,220,58705,3.96,13.7584035545675,10.9802801810643
"104",2022-12-26,4831,949324,249,58954,5.15,13.7635054313369,10.9845127577772
"105",2023-01-02,5752,955076,396,59350,6.88,13.7695461974483,10.9912074000378
"106",2023-01-09,4229,959305,313,59663,7.4,13.7739643429263,10.9964673417525
"107",2023-01-16,3861,963166,305,59968,7.9,13.7779810539103,11.0015663655981
"108",2023-01-23,3044,966210,321,60289,10.55,13.7811364808729,11.0069049448473
"109",2023-01-30,2847,969057,279,60568,9.8,13.7840787126723,11.0115219797831
"110",2023-02-06,2279,971336,270,60838,11.85,13.7864277224326,11.0159698727231
"111",2023-02-13,1991,973327,202,61040,10.15,13.7884753787059,11.0192846659583
"112",2023-02-20,1409,974736,192,61232,13.63,13.7899219440846,11.0224252076655
"113",2023-02-27,1338,976074,132,61364,9.87,13.7912936821932,11.0245786229647
"114",2023-03-06,1035,977109,111,61475,10.72,13.7923534908203,11.0263858670844
"115",2023-03-13,830,977939,104,61579,12.53,13.7932025748836,11.028076182308
"116",2023-03-20,517,978456,106,61685,20.5,13.7937310980213,11.0297960685056
